board_id,epic,title,lane,estimate_days,target_sprint,depends_on,parallel_with,labels,status,primary_files,issue_pack_ref
SB-01,E1,"[SB-01][E1] Define capability registry core types","Query Fabric",3,"Sprint 1","None","SB-04","epic|subtask|p0|query-fabric","Todo","src/query/capabilities/*","E1_E3_GITHUB_ISSUE_PACK_2026_03_31.md#sb-01"
SB-02,E1,"[SB-02][E1] Bridge store and provider capabilities into the registry","Query Fabric",3,"Sprint 1","SB-01","SB-04","epic|subtask|p0|query-fabric","Todo","src/storage/multimodel/traits.rs;src/query/columnar/provider.rs","E1_E3_GITHUB_ISSUE_PACK_2026_03_31.md#sb-02"
SB-03,E1,"[SB-03][E1] Attach capability requirements to plan nodes","Query Fabric",4,"Sprint 1","SB-02","SB-04","epic|subtask|p0|query-fabric|planner","Todo","src/query/federated/optimizer/mod.rs;src/query/unified/*","E1_E3_GITHUB_ISSUE_PACK_2026_03_31.md#sb-03"
SB-04,E1,"[SB-04][E1] Define protocol-level capability error mapping","API and Protocol",2,"Sprint 1","SB-01","SB-02|SB-03","epic|subtask|p0|api-parity","Todo","src/query/facade/adapter.rs;src/network/rest/v1/unified_query.rs;src/network/rest/v1/handlers.rs","E1_E3_GITHUB_ISSUE_PACK_2026_03_31.md#sb-04"
SB-05,E1,"[SB-05][E1] Add canonical plan validation to public entrypoints","API and Protocol",4,"Sprint 2","SB-03|SB-04","SB-06","epic|subtask|p0|api-parity|query-fabric","Todo","src/query/federated/mod.rs;src/query/unified/mod.rs;src/query/facade/mod.rs;protocol handlers","E1_E3_GITHUB_ISSUE_PACK_2026_03_31.md#sb-05"
SB-06,E1,"[SB-06][E1] Add capability contract tests and snapshot generation","Quality and Release",3,"Sprint 2","SB-02|SB-04","SB-05|SB-07","epic|subtask|p0|quality|release-gating","Todo","tests/contracts/*;capability snapshot utility","E1_E3_GITHUB_ISSUE_PACK_2026_03_31.md#sb-06"
SB-07,E1,"[SB-07][E1] Generate supported surface and CI gate design","Quality and Release",3,"Sprint 4","SB-06","SB-14","epic|subtask|p0|docs-generated|release-gating","Todo","docs/SUPPORTED_SURFACE.adoc;CI config;roadmap docs","E1_E3_GITHUB_ISSUE_PACK_2026_03_31.md#sb-07"
SB-08,E2,"[SB-08][E2] Define normalized filter and candidate-set contracts","Vector and Indexing",3,"Sprint 2","SB-02","SB-10","epic|subtask|p0|vector|indexing","Todo","src/core/search/*;src/services/operations/vectors.rs","E1_E3_GITHUB_ISSUE_PACK_2026_03_31.md#sb-08"
SB-09,E2,"[SB-09][E2] Wire canonical vector paths to build filtered HybridQuery","Vector and Indexing",3,"Sprint 2","SB-08|SB-05","SB-10","epic|subtask|p0|vector|api-parity","Todo","src/services/operations/vectors.rs;src/api_handlers/unified_handlers.rs;src/query/facade/strategies/vector.rs","E1_E3_GITHUB_ISSUE_PACK_2026_03_31.md#sb-09"
SB-10,E2,"[SB-10][E2] Implement candidate handling in AXIS manager","Vector and Indexing",5,"Sprint 3","SB-08","SB-09|SB-11","epic|subtask|p0|vector|indexing|performance","Todo","src/index/axis/management/manager.rs;src/core/search/metadata_filter_pushdown.rs","E1_E3_GITHUB_ISSUE_PACK_2026_03_31.md#sb-10"
SB-11,E2,"[SB-11][E2] Apply backend-specific filtered contracts in HNSW and IVF","Vector and Indexing",4,"Sprint 3","SB-10","SB-12","epic|subtask|p0|vector|indexing","Todo","src/index/axis/indexes/hnsw_index.rs;src/index/axis/indexes/ivf_unified.rs;src/index/axis/indexes/lsh_index.rs","E1_E3_GITHUB_ISSUE_PACK_2026_03_31.md#sb-11"
SB-12,E2,"[SB-12][E2] Add filtered ANN differential and graph-first regressions","Quality and Release",4,"Sprint 3","SB-09|SB-11","SB-13","epic|subtask|p0|quality|vector","Todo","src/services/tests/index_first_search_tests.rs;tests/sks_graph_first_integration_test.rs","E1_E3_GITHUB_ISSUE_PACK_2026_03_31.md#sb-12"
SB-13,E2,"[SB-13][E2] Add filtered ANN benchmark harness","Quality and Release",2,"Sprint 4","SB-11","SB-07","epic|subtask|p0|benchmark|vector","Todo","benches/filtered_ann_bench.rs","E1_E3_GITHUB_ISSUE_PACK_2026_03_31.md#sb-13"
SB-14,E3,"[SB-14][E3] Define MultiModelPlan v1 contract","Query Fabric",4,"Sprint 2","SB-03|SB-08","SB-15|SB-16","epic|subtask|p0|planner|query-fabric","Todo","shared plan types under src/query/*","E1_E3_GITHUB_ISSUE_PACK_2026_03_31.md#sb-14"
SB-15,E3,"[SB-15][E3] Replace placeholder UQL lowering with MultiModelPlan v1","Query Fabric",4,"Sprint 3","SB-14","SB-16","epic|subtask|p0|planner|uql","Todo","src/query/unified/uql.rs","E1_E3_GITHUB_ISSUE_PACK_2026_03_31.md#sb-15"
SB-16,E3,"[SB-16][E3] Route federated SQL and facade requests into shared plan contract","Query Fabric",4,"Sprint 3","SB-14|SB-05","SB-15|SB-17","epic|subtask|p0|planner|api-parity","Todo","src/query/federated/*;src/query/facade/*","E1_E3_GITHUB_ISSUE_PACK_2026_03_31.md#sb-16"
SB-17,E3,"[SB-17][E3] Unify explain schema across REST, gRPC, SQL, and unified APIs","API and Protocol",3,"Sprint 3","SB-14|SB-16","SB-18","epic|subtask|p0|api-parity|explain","Todo","src/query/explain.rs;src/network/rest/v1/handlers.rs;src/network/rest/v1/unified_query.rs","E1_E3_GITHUB_ISSUE_PACK_2026_03_31.md#sb-17"
